t,vm
79.800,7.638
80.000,7.701
80.200,7.704
80.400,7.706
80.600,7.709
80.800,7.772
81.000,7.734
81.200,7.777
81.400,7.759
81.600,7.801
81.800,7.843
82.000,7.923
82.200,7.944
82.400,7.925
82.600,7.925
82.800,7.966
83.000,8.006
83.200,8.006
83.400,8.025
83.600,8.025
83.800,7.985
84.000,7.985
84.200,7.986
84.400,7.946
84.600,7.927
84.800,7.868
85.000,7.869
85.200,7.871
85.400,7.832
85.600,7.834
85.800,7.816
86.000,7.778
86.200,7.761
86.400,7.703
86.600,7.746
86.800,7.808
87.000,7.869
87.200,7.930
87.400,7.950
87.600,7.911
87.800,7.912
88.000,7.933
88.200,7.953
88.400,7.914
88.600,7.915
88.800,7.975
89.000,7.976
89.200,7.996
89.400,8.075
89.600,8.114
89.800,8.192
90.000,8.170
90.200,8.168
90.400,8.206
90.600,8.165
90.800,8.123
91.000,8.102
91.200,8.082
91.400,8.061
91.600,8.021
91.800,7.981
92.000,7.961
92.200,7.982
92.400,8.002
92.600,7.942
92.800,7.923
93.000,7.864
93.200,7.806
93.400,7.749
93.600,7.811
93.800,7.852
94.000,7.854
94.200,7.815
94.400,7.857
94.600,7.918
94.800,7.899
95.000,7.840
95.200,7.842
95.400,7.962
95.600,7.963
95.800,7.904
96.000,7.885
96.200,7.866
96.400,7.848
96.600,7.790
96.800,7.871
97.000,7.932
97.200,7.893
97.400,7.894
97.600,7.875
97.800,7.916
98.000,7.877
98.200,7.859
98.400,7.880
98.600,7.881
98.800,7.882
99.000,7.883
99.200,7.884
99.400,7.866
99.600,7.926
99.800,7.927
100.000,7.948
100.200,7.968
100.400,7.968
100.600,7.929
100.800,7.910
101.000,7.911
101.200,7.872
101.400,7.834
101.600,7.835
101.800,7.817
102.000,7.859
102.200,7.840
102.400,7.901
102.600,7.863
102.800,7.923
103.000,7.944
103.200,7.925
103.400,7.866
103.600,7.947
103.800,7.947
104.000,7.948
104.200,7.988
104.400,7.988
104.600,8.028
104.800,7.988
105.000,7.928
105.200,7.909
105.400,7.871
105.600,7.971
105.800,7.951
106.000,8.031
106.200,8.051
106.400,8.030
106.600,8.089
106.800,8.089
107.000,8.068
107.200,8.067
107.400,8.106
107.600,8.125
107.800,8.124
