t,vm,vm
30.3,7.431,7.414
30.4,7.454,7.437
30.5,7.446,7.43
30.6,7.479,7.463
30.7,7.482,7.465
30.8,7.474,7.458
30.9,7.517,7.5
31,7.559,7.543
31.1,7.592,7.575
31.2,7.594,7.577
31.3,7.576,7.559
31.4,7.648,7.631
31.5,7.68,7.663
31.6,7.671,7.654
31.7,7.643,7.626
31.8,7.655,7.638
31.9,7.646,7.63
32,7.658,7.642
32.1,7.67,7.653
32.2,7.661,7.645
32.3,7.693,7.677
32.4,7.725,7.708
32.5,7.716,7.7
32.6,7.717,7.701
32.7,7.709,7.693
32.8,7.72,7.704
32.9,7.762,7.746
33,7.783,7.767
33.1,7.764,7.748
33.2,7.825,7.809
33.3,7.816,7.8
33.4,7.837,7.821
33.5,7.848,7.832
33.6,7.899,7.882
33.7,7.949,7.933
33.8,7.959,7.943
33.9,7.97,7.953
34,8.01,7.993
34.1,8.03,8.013
34.2,8.029,8.013
34.3,8.039,8.023
34.4,8.059,8.043
34.5,8.059,8.043
34.6,8.059,8.042
34.7,8.048,8.032
34.8,8.028,8.012
34.9,8.038,8.022
35,8.038,8.022
35.1,8.028,8.012
35.2,8.047,8.032
35.3,8.027,8.012
35.4,8.017,8.002
35.5,8.007,7.992
35.6,8.077,8.061
35.7,8.106,8.091
35.8,8.146,8.13
35.9,8.155,8.14
36,8.154,8.139
36.1,8.174,8.158
36.2,8.183,8.167
36.3,8.172,8.156
36.4,8.211,8.195
36.5,8.23,8.214
36.6,8.259,8.243
36.7,8.318,8.302
36.8,8.366,8.35
36.9,8.364,8.348
37,8.392,8.376
37.1,8.4,8.384
37.2,8.378,8.363
37.3,8.366,8.351
37.4,8.365,8.349
37.5,8.363,8.347
37.6,8.341,8.326
37.7,8.329,8.314
37.8,8.348,8.332
37.9,8.356,8.341
38,8.324,8.309
38.1,8.312,8.298
38.2,8.291,8.276
38.3,8.269,8.255
38.4,8.338,8.323
38.5,8.336,8.322
38.6,8.345,8.33
38.7,8.373,8.358
38.8,8.371,8.357
38.9,8.359,8.345
39,8.388,8.373
39.1,8.436,8.421
39.2,8.413,8.399
39.3,8.411,8.397
39.4,8.409,8.395
39.5,8.397,8.383
39.6,8.405,8.391
39.7,8.463,8.449
39.8,8.451,8.437
39.9,8.459,8.444
40,8.476,8.462
40.1,8.464,8.45
40.2,8.472,8.458
40.3,8.479,8.465
40.4,8.487,8.473
40.5,8.494,8.48
40.6,8.492,8.478
40.7,8.53,8.516
40.8,8.537,8.523
40.9,8.554,8.54
41,8.571,8.557
41.1,8.569,8.555
41.2,8.566,8.552
41.3,8.563,8.549
41.4,8.54,8.526
41.5,8.537,8.524
41.6,8.535,8.521
41.7,8.562,8.549
41.8,8.549,8.536
41.9,8.586,8.573
42,8.604,8.59
42.1,8.631,8.617
42.2,8.627,8.614
42.3,8.634,8.621
42.4,8.651,8.638
42.5,8.658,8.644
42.6,8.685,8.671
42.7,8.711,8.698
42.8,8.708,8.694
42.9,8.674,8.661
43,8.671,8.657
43.1,8.687,8.674
43.2,8.704,8.691
43.3,8.75,8.737
43.4,8.767,8.753
43.5,8.773,8.759
43.6,8.799,8.785
43.7,8.795,8.782
43.8,8.791,8.778
43.9,8.827,8.814
44,8.843,8.829
44.1,8.859,8.845
44.2,8.844,8.831
44.3,8.84,8.827
44.4,8.806,8.793
44.5,8.822,8.809
44.6,8.838,8.825
44.7,8.864,8.851
44.8,8.829,8.816
44.9,8.815,8.802
45,8.831,8.818
45.1,8.847,8.834
45.2,8.853,8.84
45.3,8.828,8.816
45.4,8.834,8.822
45.5,8.88,8.867
45.6,8.886,8.873
45.7,8.891,8.879
45.8,8.897,8.884
45.9,8.892,8.88
46,8.908,8.895
46.1,8.933,8.921
46.2,8.949,8.936
46.3,8.924,8.912
46.4,8.879,8.867
46.5,8.885,8.873
46.6,8.87,8.859
46.7,8.866,8.854
46.8,8.862,8.85
46.9,8.867,8.856
47,8.863,8.852
47.1,8.859,8.847
47.2,8.844,8.833
47.3,8.82,8.809
47.4,8.836,8.825
47.5,8.842,8.831
47.6,8.818,8.807
47.7,8.804,8.793
47.8,8.81,8.799
47.9,8.806,8.795
48,8.792,8.781
48.1,8.818,8.807
48.2,8.854,8.843
48.3,8.839,8.829
48.4,8.815,8.805
48.5,8.821,8.81
48.6,8.837,8.826
48.7,8.873,8.862
48.8,8.878,8.868
48.9,8.844,8.834
49,8.85,8.839
49.1,8.865,8.855
49.2,8.861,8.851
49.3,8.877,8.866
49.4,8.842,8.832
49.5,8.828,8.818
49.6,8.814,8.804
49.7,8.8,8.79
49.8,8.826,8.816
49.9,8.852,8.842
50,8.868,8.858
50.1,8.913,8.903
50.2,8.899,8.889
50.3,8.884,8.874
50.4,8.93,8.92
50.5,8.955,8.945
50.6,8.95,8.94
50.7,8.956,8.946
50.8,8.961,8.951
50.9,8.956,8.946
51,8.931,8.921
51.1,8.907,8.897
51.2,8.882,8.873
51.3,8.868,8.858
51.4,8.883,8.874
51.5,8.909,8.899
51.6,8.884,8.875
51.7,8.92,8.911
51.8,8.895,8.886
51.9,8.971,8.961
52,8.966,8.957
52.1,8.971,8.962
52.2,8.956,8.947
52.3,8.982,8.972
52.4,8.987,8.977
52.5,9.012,9.002
52.6,9.007,8.997
52.7,9.002,8.992
52.8,9.017,9.007
52.9,9.032,9.022
53,9.016,9.007
53.1,9.041,9.032
53.2,9.056,9.047
53.3,9.081,9.071
53.4,9.075,9.066
53.5,9.05,9.041
53.6,9.065,9.056
53.7,9.089,9.08
53.8,9.094,9.085
53.9,9.089,9.079
54,9.083,9.074
54.1,9.118,9.108
54.2,9.132,9.123
54.3,9.116,9.107
54.4,9.101,9.092
54.5,9.135,9.126
54.6,9.14,9.13
54.7,9.144,9.135
54.8,9.168,9.159
54.9,9.152,9.143
55,9.157,9.148
55.1,9.191,9.182
55.2,9.165,9.156
55.3,9.159,9.15
55.4,9.143,9.134
55.5,9.178,9.169
55.6,9.182,9.173
55.7,9.186,9.177
55.8,9.18,9.171
55.9,9.234,9.225
56,9.218,9.209
56.1,9.232,9.223
56.2,9.216,9.207
56.3,9.229,9.221
56.4,9.213,9.205
56.5,9.247,9.238
56.6,9.201,9.192
56.7,9.205,9.196
56.8,9.219,9.21
56.9,9.203,9.194
57,9.187,9.179
57.1,9.181,9.173
57.2,9.205,9.197
57.3,9.169,9.161
57.4,9.163,9.155
57.5,9.137,9.129
57.6,9.162,9.154
57.7,9.146,9.138
57.8,9.15,9.142
57.9,9.164,9.156
58,9.169,9.161
58.1,9.153,9.145
58.2,9.147,9.139
58.3,9.181,9.173
58.4,9.185,9.178
58.5,9.179,9.172
58.6,9.163,9.156
58.7,9.148,9.14
58.8,9.152,9.144
58.9,9.136,9.129
59,9.13,9.123
59.1,9.115,9.108
59.2,9.129,9.122
59.3,9.144,9.136
59.4,9.158,9.151
59.5,9.172,9.165
59.6,9.146,9.139
59.7,9.151,9.143
59.8,9.135,9.128
59.9,9.169,9.162
60,9.193,9.186
60.1,9.247,9.24
60.2,9.271,9.263
60.3,9.245,9.237
60.4,9.228,9.221
60.5,9.212,9.205
60.6,9.216,9.209
60.7,9.24,9.233
60.8,9.214,9.207
60.9,9.208,9.201
61,9.192,9.185
61.1,9.236,9.229
61.2,9.25,9.243
61.3,9.233,9.226
61.4,9.247,9.24
61.5,9.231,9.224
61.6,9.225,9.218
61.7,9.209,9.202
61.8,9.203,9.196
61.9,9.207,9.2
62,9.231,9.224
62.1,9.245,9.238
62.2,9.278,9.271
62.3,9.262,9.255
62.4,9.266,9.259
62.5,9.269,9.263
62.6,9.263,9.256
62.7,9.257,9.25
62.8,9.3,9.294
62.9,9.344,9.337
63,9.347,9.34
63.1,9.35,9.343
63.2,9.354,9.347
63.3,9.357,9.35
63.4,9.36,9.353
63.5,9.353,9.346
63.6,9.327,9.32
63.7,9.31,9.303
63.8,9.303,9.297
63.9,9.267,9.261
64,9.31,9.304
64.1,9.294,9.288
64.2,9.277,9.271
64.3,9.261,9.255
64.4,9.285,9.279
64.5,9.348,9.342
64.6,9.342,9.335
64.7,9.375,9.368
64.8,9.388,9.381
64.9,9.421,9.414
65,9.404,9.397
65.1,9.387,9.38
65.2,9.38,9.374
65.3,9.403,9.397
65.4,9.416,9.41
65.5,9.409,9.403
65.6,9.402,9.396
65.7,9.405,9.399
65.8,9.448,9.441
65.9,9.401,9.394
66,9.414,9.407
66.1,9.447,9.44
66.2,9.429,9.423
66.3,9.442,9.436
66.4,9.435,9.429
66.5,9.458,9.451
66.6,9.471,9.464
66.7,9.443,9.437
66.8,9.506,9.499
66.9,9.488,9.482
67,9.521,9.514
67.1,9.483,9.477
67.2,9.446,9.44
67.3,9.469,9.463
67.4,9.461,9.455
67.5,9.464,9.458
67.6,9.477,9.471
67.7,9.519,9.513
67.8,9.552,9.545
67.9,9.534,9.528
68,9.576,9.57
68.1,9.559,9.552
68.2,9.541,9.534
68.3,9.513,9.507
68.4,9.525,9.519
68.5,9.498,9.492
68.6,9.51,9.504
68.7,9.493,9.487
68.8,9.505,9.499
68.9,9.528,9.522
69,9.54,9.534
69.1,9.532,9.527
69.2,9.555,9.549
69.3,9.557,9.551
69.4,9.589,9.583
69.5,9.581,9.575
69.6,9.603,9.597
69.7,9.575,9.569
69.8,9.557,9.552
69.9,9.57,9.564
70,9.552,9.546
70.1,9.554,9.548
70.2,9.566,9.561
70.3,9.559,9.553
70.4,9.551,9.545
70.5,9.553,9.547
70.6,9.545,9.54
70.7,9.587,9.582
70.8,9.62,9.614
70.9,9.601,9.596
71,9.623,9.618
71.1,9.635,9.629
71.2,9.657,9.651
71.3,9.659,9.653
71.4,9.651,9.645
71.5,9.642,9.636
71.6,9.634,9.628
71.7,9.606,9.6
71.8,9.588,9.582
71.9,9.59,9.585
72,9.582,9.577
72.1,9.584,9.579
72.2,9.576,9.571
72.3,9.548,9.543
72.4,9.551,9.545
72.5,9.523,9.518
72.6,9.515,9.51
72.7,9.528,9.523
72.8,9.52,9.515
72.9,9.532,9.527
73,9.515,9.51
73.1,9.547,9.542
73.2,9.559,9.554
73.3,9.572,9.567
73.4,9.624,9.619
73.5,9.606,9.601
73.6,9.618,9.612
73.7,9.62,9.614
73.8,9.611,9.606
73.9,9.613,9.608
74,9.595,9.59
74.1,9.597,9.592
74.2,9.579,9.575
74.3,9.591,9.587
74.4,9.593,9.589
74.5,9.585,9.581
74.6,9.588,9.583
74.7,9.55,9.545
74.8,9.552,9.547
74.9,9.584,9.579
75,9.596,9.592
75.1,9.578,9.574
75.2,9.59,9.586
75.3,9.592,9.588
75.4,9.564,9.56
75.5,9.577,9.572
75.6,9.589,9.584
75.7,9.591,9.586
75.8,9.603,9.598
75.9,9.585,9.58
76,9.597,9.592
76.1,9.619,9.614
76.2,9.631,9.626
76.3,9.673,9.668
76.4,9.694,9.689
76.5,9.656,9.651
76.6,9.648,9.643
76.7,9.659,9.655
76.8,9.691,9.686
76.9,9.733,9.728
77,9.694,9.689
77.1,9.695,9.691
77.2,9.697,9.692
77.3,9.678,9.674
77.4,9.64,9.636
77.5,9.642,9.638
77.6,9.694,9.689
77.7,9.665,9.661
77.8,9.647,9.643
77.9,9.659,9.654
78,9.64,9.636
78.1,9.632,9.628
78.2,9.634,9.63
78.3,9.596,9.592
78.4,9.628,9.624
78.5,9.61,9.606
78.6,9.612,9.608
78.7,9.584,9.58
78.8,9.596,9.592
78.9,9.608,9.604
79,9.62,9.616
79.1,9.632,9.628
79.2,9.643,9.639
79.3,9.605,9.601
79.4,9.597,9.593
79.5,9.569,9.566
79.6,9.571,9.568
79.7,9.573,9.57
79.8,9.626,9.622
