t,vm
78.400,10.000
78.600,9.900
78.800,10.302
79.000,10.299
79.200,9.997
79.400,10.298
79.600,10.495
79.800,10.891
80.000,10.982
80.200,11.273
80.400,11.661
80.600,12.045
80.800,12.725
81.000,12.798
81.200,13.471
81.400,13.737
81.600,14.300
81.800,15.158
82.000,15.607
82.200,16.152
82.400,16.391
82.600,16.728
82.800,17.262
83.000,17.690
83.200,17.514
83.400,17.940
83.600,18.361
83.800,18.578
84.000,19.094
84.200,19.404
84.400,18.110
84.600,18.430
84.800,18.347
85.000,18.164
85.200,18.784
85.400,18.797
85.600,18.810
85.800,19.122
86.000,18.632
86.200,19.047
86.400,19.257
86.600,19.466
86.800,19.772
87.000,20.375
87.000,10.000
87.200,10.000
87.400,10.000
87.600,10.000
87.800,10.000
88.000,10.000
88.200,10.000
88.400,10.000
88.600,10.000
88.800,10.000
89.000,9.900
89.200,10.502
89.400,11.397
89.600,12.084
89.800,12.864
90.000,13.236
90.200,13.704
90.400,13.768
90.600,13.931
90.800,13.992
91.000,14.253
91.200,14.411
91.400,14.968
91.600,15.119
91.800,15.468
92.000,15.814
92.200,16.357
92.400,16.794
92.600,16.727
92.800,17.061
93.000,16.091
93.200,16.031
93.400,16.171
93.600,16.711
93.800,17.344
94.000,17.372
94.200,17.599
94.400,18.124
94.600,17.943
94.800,18.365
95.000,18.282
95.200,18.800
95.400,19.213
95.600,19.522
95.800,18.728
96.000,18.841
96.200,19.054
96.400,18.264
96.600,18.183
96.800,18.502
97.000,19.118
97.200,19.527
97.400,19.233
97.600,19.542
97.800,20.047
97.800,10.000
98.000,10.000
98.200,10.000
98.400,10.000
98.600,10.000
98.800,10.000
99.000,10.000
99.200,10.000
99.400,10.000
99.600,10.000
99.800,9.900
100.000,10.002
100.200,10.402
100.400,10.799
100.600,11.192
100.800,11.380
101.000,11.867
101.200,11.949
101.400,12.030
101.600,12.410
101.800,12.687
102.000,13.261
102.200,13.029
102.400,13.799
102.600,13.462
102.800,14.128
103.000,14.587
103.200,15.042
103.400,14.792
103.600,15.645
103.800,15.989
104.000,16.230
104.200,16.869
104.400,16.201
104.600,16.740
104.800,16.573
105.000,16.808
105.200,16.941
105.400,17.273
105.600,17.601
105.800,17.826
106.000,18.048
106.200,18.469
106.400,18.885
106.600,19.797
106.800,20.000
107.000,20.201
107.000,10.000
107.200,10.000
107.400,10.000
107.600,10.000
107.800,10.000
108.000,10.000
108.200,10.000
108.400,10.000
108.600,10.000
108.800,10.000
109.000,9.900
109.200,10.002
109.400,10.902
109.600,10.794
109.800,10.487
110.000,10.182
110.200,10.281
110.400,10.679
110.600,10.372
110.800,10.769
111.000,10.962
111.200,11.653
111.400,12.437
111.600,13.013
111.800,13.384
112.000,13.751
112.200,13.614
112.400,13.378
112.600,13.845
112.800,14.007
113.000,14.868
113.200,15.320
113.400,15.768
113.600,16.111
113.800,14.650
114.000,15.205
114.200,15.553
114.400,15.899
114.600,16.440
114.800,16.777
115.000,16.510
