neuron,t
7571,13.7635
8979,13.8021
5651,13.8405
6984,13.7886
1367,13.7961
2338,13.796
2465,13.7921
8907,13.8022
5715,13.832
6864,13.8405
3635,13.7917
1700,13.7966
2295,13.8024
2341,13.8049
7022,13.7953
4607,13.8013
5017,13.7985
2726,13.8354
7100,13.7937
503,13.7916
5092,13.7961
191,13.7961
8081,13.7961
5645,13.855
6594,13.8381
8685,13.8427
9749,13.7998
8378,13.7964
4628,13.8154
1621,13.8283
9470,13.8104
4937,13.8671
6107,13.8368
2570,13.8486
5564,13.8421
5781,13.8515
5274,13.842
8384,13.8177
6007,13.8405
4745,13.8386
6878,13.8761
6959,13.8472
9496,13.8118
4824,13.8515
1486,13.8405
682,13.8421
8136,13.8386
308,13.8361
278,13.8678
4400,13.8515
366,13.8421
579,13.8515
3150,13.8226
3360,13.8365
5269,13.827
9330,13.8281
2689,13.8506
379,13.8509
7236,13.8298
8902,13.8271
4278,13.8421
2087,13.846
4566,13.8379
4013,13.8405
4429,13.8515
6668,13.832
6461,13.8649
6832,13.8926
7928,13.8666
783,13.8281
4335,13.8486
2105,13.8405
1474,13.8481
6085,13.8515
8817,13.8421
4500,13.8348
9069,13.8421
3686,13.8574
9998,13.8486
1465,13.8486
7566,13.8405
8239,13.8486
7121,13.8571
9260,13.8405
7973,13.8421
7800,13.8486
2494,13.8553
9849,13.8421
9094,13.8433
3410,13.8452
2789,13.8412
1854,13.8486
1223,13.8421
459,13.8515
4364,13.8412
5676,13.8444
9471,13.8498
7723,13.8439
7419,13.8903
6726,13.866
5357,13.8481
2650,13.8423
8018,13.8987
3887,13.879
1120,13.8731
1168,13.8801
8664,13.8556
1757,13.8837
5452,13.8463
2880,13.8486
9723,13.8623
5933,13.879
7756,13.8515
7252,13.9078
4627,13.8806
1829,13.8758
1470,13.8572
3128,13.8707
9654,13.8674
5935,13.8748
4493,13.859
4468,13.8777
3382,13.8853
3108,13.8552
1479,13.9024
1038,13.8798
2311,13.8614
9181,13.8655
1809,13.8743
4328,13.8745
7383,13.9432
6158,13.8916
7685,13.9161
1439,13.9094
521,13.8641
9129,13.9044
7581,13.9093
4332,13.8877
6417,13.8998
5712,13.8801
3507,13.8787
9742,13.8798
9053,13.8947
5199,13.8806
1164,13.9298
4870,13.9255
9595,13.9194
6723,13.8801
5589,13.8966
6277,13.9243
9752,13.9244
7681,13.8827
4744,13.8996
4257,13.9242
3254,13.945
8226,13.9077
3883,13.9289
3667,13.8881
5872,13.9216
113,13.9061
6051,13.8881
6276,13.8925
1073,13.8909
9125,13.8997
1453,13.9358
3304,13.899
2200,13.8958
7345,13.9212
2191,13.9062
7646,13.9718
1007,13.9061
347,13.9084
7135,13.936
7875,13.9132
3874,13.906
8283,13.9105
6429,13.9098
9343,13.907
4725,13.9476
3261,13.9094
2023,13.9434
2213,13.9445
932,13.9518
5816,13.9199
9047,13.9167
5744,13.9389
4054,13.9224
2661,13.9141
8577,13.9789
9246,13.9429
4901,13.9334
6112,13.9192
2791,13.9391
8139,13.9179
2268,13.9547
2438,13.95
6732,13.9249
5709,13.9504
6796,13.9549
9313,13.9243
8974,13.9227
2933,13.9572
6617,13.9553
4955,13.9559
2894,13.9333
3933,13.9715
483,13.9426
1680,13.9603
2788,13.9631
6195,13.9309
8801,13.942
2691,13.9777
954,13.9529
1340,13.9589
3041,13.9333
505,13.9394
6499,13.9524
9757,13.9611
9149,13.982
9092,13.9592
9694,13.9878
7495,13.9509
8586,14.0059
6892,13.9547
3697,13.9547
9917,13.975
9199,13.9547
2890,13.9473
4319,13.9946
6454,13.9465
269,13.9493
3704,13.9604
1191,13.9836
9973,13.95
3105,13.9763
3180,13.9878
3351,13.9627
2589,13.9607
4415,13.9698
9779,13.9761
2872,13.9832
8373,13.9677
