t,vm
23.772,16.323
23.945,16.282
23.968,16.364
23.993,16.443
24.043,16.502
24.060,16.588
24.090,16.663
24.229,16.648
24.244,16.736
24.268,16.816
24.327,16.865
24.441,16.870
24.447,16.964
24.461,17.053
24.474,17.142
24.508,17.213
24.619,17.217
24.641,17.298
24.665,17.377
24.790,17.370
24.796,17.464
24.846,17.521
24.853,17.615
24.876,17.694
24.896,17.777
24.953,17.826
25.032,17.856
25.067,17.924
25.085,18.009
25.193,18.011
25.215,18.092
25.282,18.131
25.312,18.204
25.323,18.294
25.334,18.384
25.374,18.447
25.410,18.514
25.432,18.594
25.433,18.693
25.441,18.785
25.448,18.879
25.510,18.921
25.571,18.962
25.619,19.017
25.674,19.065
25.704,19.136
25.764,19.179
25.787,19.257
25.793,19.352
25.954,19.296
25.958,19.392
25.959,19.492
26.153,19.403
26.161,19.495
26.176,19.580
26.188,19.669
26.232,19.726
26.418,19.643
26.434,19.728
26.609,19.655
26.610,19.754
26.666,19.200
26.720,19.248
26.781,19.288
26.798,19.373
26.910,19.364
26.912,19.463
26.961,19.515
26.981,19.595
27.080,19.599
27.152,19.629
27.161,19.719
27.242,19.139
27.277,19.206
27.297,19.287
27.407,19.281
27.443,19.347
27.478,19.412
27.503,19.489
27.541,19.552
27.685,19.511
27.797,19.502
27.854,19.547
27.904,19.597
27.944,19.658
27.960,19.743
27.968,19.835
28.065,19.839
28.116,19.889
28.133,19.971
28.164,20.041
28.164,10.000
30.164,10.000
30.205,10.079
30.312,10.126
30.331,10.216
30.357,10.303
30.397,10.383
30.445,10.457
30.469,10.545
30.508,10.624
30.515,10.721
30.572,10.790
30.589,10.881
30.591,10.980
30.597,11.077
30.603,11.174
30.622,11.263
30.636,11.355
30.677,11.431
30.796,11.464
30.839,11.539
30.885,11.613
30.898,11.705
30.942,11.780
30.949,11.875
30.958,11.370
30.970,11.463
31.019,11.535
31.041,11.622
31.162,11.652
31.247,11.703
31.268,11.791
31.296,11.874
31.333,11.952
31.334,12.051
31.365,12.133
31.375,12.227
31.404,12.309
31.405,12.408
31.414,12.503
31.477,12.564
31.514,12.640
31.533,12.728
31.533,12.828
31.579,12.899
31.631,12.965
31.631,13.065
31.662,13.145
31.807,13.150
31.862,13.214
31.879,13.303
31.890,13.395
32.020,13.409
32.039,13.496
32.064,13.579
32.115,13.645
32.225,13.670
32.254,13.750
32.385,13.760
32.430,13.829
32.458,13.910
32.503,13.978
32.525,14.063
32.579,14.126
32.631,14.188
32.640,14.282
32.718,14.327
32.743,14.408
32.745,14.507
32.954,14.456
32.984,14.535
33.123,14.534
33.178,14.594
33.194,14.683
33.225,14.760
33.235,14.852
33.361,14.259
33.393,14.337
33.399,14.432
33.415,14.521
33.419,14.618
33.491,14.665
33.492,14.764
33.500,14.859
33.515,14.947
33.527,15.039
33.617,15.071
33.627,15.163
33.656,15.242
33.675,15.327
33.719,15.393
33.857,15.387
33.998,15.379
34.001,15.477
34.046,15.542
34.157,15.556
34.233,15.597
34.245,15.688
34.303,15.743
34.318,15.831
34.328,15.923
34.424,15.946
34.443,16.032
34.443,16.131
34.448,16.227
34.496,16.288
34.520,16.369
34.525,16.464
34.688,15.831
34.735,15.894
34.848,15.904
34.864,15.991
34.896,16.066
34.929,16.140
34.952,16.221
34.964,16.311
35.135,16.272
35.141,16.368
35.143,16.466
35.176,16.539
35.198,16.621
35.206,16.714
35.220,16.802
35.223,16.900
35.229,16.994
35.327,17.012
35.352,17.090
35.376,17.170
35.377,17.269
35.401,17.348
35.455,17.402
35.504,17.459
35.627,17.452
35.682,17.504
35.702,17.586
35.721,17.670
35.749,17.745
35.811,17.790
35.817,17.885
35.885,17.924
35.902,18.009
35.964,18.053
35.971,17.547
36.006,17.616
36.031,17.694
36.069,17.761
36.073,17.857
36.128,17.908
36.130,18.006
36.240,18.008
36.297,18.056
36.408,18.156
36.458,18.211
36.547,18.230
36.705,18.186
36.707,18.285
36.785,18.314
36.804,18.396
37.027,18.292
37.049,18.372
37.143,18.386
37.217,18.418
37.280,18.460
37.331,18.513
37.349,18.596
37.366,18.081
37.388,18.161
37.404,18.247
37.404,18.346
37.405,18.445
37.413,18.538
37.449,18.604
37.462,18.693
37.485,18.771
37.488,18.869
37.609,18.855
37.717,18.853
37.831,18.846
37.851,18.927
37.913,18.968
37.941,19.042
37.959,19.125
37.963,19.221
37.990,19.295
38.015,19.371
38.023,18.863
38.023,18.963
38.045,19.042
38.050,19.137
38.152,19.140
38.207,19.187
38.218,19.277
38.325,19.274
38.343,19.357
38.387,19.415
38.417,19.485
38.468,19.535
38.483,19.621
38.523,19.682
38.530,19.775
38.541,19.864
38.577,19.928
38.583,20.023
38.583,10.000
40.583,10.000
40.626,10.078
40.694,10.144
40.758,10.212
40.791,10.295
40.802,10.389
40.813,10.483
40.852,10.563
40.881,10.648
41.016,10.676
41.065,10.750
41.083,10.840
41.087,10.938
41.152,11.003
41.337,11.001
41.413,11.059
41.428,11.152
41.429,11.251
41.456,11.336
41.561,11.376
41.565,11.474
41.589,11.560
41.606,11.651
41.743,11.671
41.817,11.728
41.864,11.800
41.864,11.900
41.998,11.921
42.054,11.987
42.067,12.080
42.068,12.179
42.068,12.279
42.199,12.299
42.214,11.790
42.217,11.288
42.258,11.364
42.320,11.430
42.365,11.504
42.403,11.582
42.434,11.664
42.480,11.738
42.508,11.821
42.533,11.906
42.556,11.992
42.611,12.059
42.612,11.559
42.642,11.642
42.646,11.739
42.659,11.831
42.664,11.929
42.683,12.017
42.730,12.089
42.753,12.175
42.818,12.236
42.875,12.301
42.883,12.396
42.892,12.491
42.895,12.588
42.910,12.679
42.932,12.765
42.936,12.862
42.983,12.933
43.045,12.992
43.054,13.087
43.075,13.173
43.140,13.230
43.194,13.294
43.290,13.330
43.331,13.404
43.332,13.503
43.335,13.601
43.339,13.698
43.376,13.773
43.446,13.825
43.448,13.923
43.478,14.002
43.525,14.070
43.565,14.141
43.621,14.202
43.660,14.274
43.704,14.342
43.818,14.361
43.861,14.431
43.888,14.511
