t,vm
13.823,16.713
13.824,16.812
13.830,16.908
13.831,17.006
13.840,17.098
13.843,17.296
13.844,17.396
13.850,17.490
13.852,17.588
13.867,17.075
13.873,17.270
13.874,17.469
13.876,17.568
13.880,17.664
13.881,17.763
13.883,17.861
13.891,17.954
13.898,18.148
13.900,18.246
13.914,18.333
13.916,18.431
13.917,18.530
13.919,18.629
13.923,18.725
13.930,18.818
13.932,18.916
13.932,19.016
13.934,19.114
13.934,19.214
13.936,19.312
13.938,19.410
13.954,19.495
13.956,18.994
13.957,18.492
13.960,18.589
13.962,18.687
13.974,18.777
13.974,18.876
13.984,17.967
13.984,18.067
13.984,18.167
13.989,18.263
13.991,18.361
13.991,18.561
13.993,18.059
13.999,18.154
13.999,18.253
14.001,17.751
14.004,17.849
14.006,17.947
14.010,17.443
14.013,17.740
14.014,17.840
14.018,17.436
14.019,17.635
14.022,17.233
14.028,16.728
14.040,17.018
14.043,17.115
14.045,17.213
14.048,16.711
14.049,16.810
14.050,16.309
14.051,16.408
14.053,16.506
14.055,16.005
14.059,16.102
14.065,16.197
14.069,16.294
14.070,16.393
14.071,16.592
14.078,16.186
14.080,16.284
14.081,16.384
14.084,15.882
14.085,15.980
14.086,16.080
14.088,16.178
14.095,15.873
14.096,15.972
14.099,16.070
14.101,16.168
14.103,15.666
14.110,15.761
14.115,15.856
14.116,15.956
14.117,16.055
14.129,16.246
14.130,16.545
14.131,16.044
14.134,16.142
14.134,16.241
14.142,16.435
14.144,16.533
14.149,16.629
14.156,16.123
14.157,16.223
14.157,16.322
14.163,16.417
14.165,16.516
14.166,16.615
14.170,16.712
14.170,16.812
14.172,16.910
14.173,17.009
14.177,17.106
14.181,17.203
14.183,16.700
14.184,15.700
14.186,15.798
14.191,15.895
14.194,15.992
14.194,16.092
14.201,15.586
14.205,15.683
14.210,15.779
14.211,15.278
14.216,15.375
14.220,15.572
14.227,15.666
14.230,15.264
14.232,15.663
14.234,15.761
14.234,15.860
14.238,15.958
14.238,16.057
14.240,16.156
14.244,16.253
14.247,15.950
14.248,16.049
14.251,16.147
14.251,16.247
14.252,15.746
14.256,15.843
14.257,15.942
14.258,16.042
14.261,16.239
14.263,16.338
14.267,15.834
14.268,15.434
14.268,15.033
14.270,15.232
14.271,15.332
14.271,15.431
14.272,15.531
14.275,15.628
14.277,15.726
14.278,15.826
14.281,16.024
14.282,15.523
14.290,15.616
14.294,15.113
14.295,15.213
14.296,14.912
14.297,15.011
14.299,15.109
14.303,15.307
14.303,15.407
14.303,15.506
14.305,15.005
14.305,15.105
14.313,15.299
14.314,15.398
14.318,15.495
14.325,15.090
14.326,15.189
14.329,15.286
14.330,14.486
14.331,14.585
14.331,14.685
14.340,14.778
14.341,14.278
14.342,14.377
14.342,14.477
14.350,14.572
14.350,14.871
14.363,14.962
14.363,14.461
14.364,14.561
14.367,14.958
14.372,14.455
14.383,13.947
14.383,14.047
14.388,13.544
14.394,13.639
14.395,12.939
14.399,13.036
14.402,13.234
14.406,12.832
14.410,12.129
14.410,12.229
14.414,11.227
14.415,11.326
14.416,11.525
14.417,11.025
14.417,10.525
14.422,10.622
14.424,10.121
14.426,10.220
14.429,9.719
14.436,9.815
14.442,9.912
14.445,10.111
14.446,10.211
14.446,10.310
14.447,9.810
14.448,9.910
14.452,10.008
14.453,10.107
14.456,10.305
14.457,10.405
14.461,10.503
14.464,10.001
14.464,10.401
14.466,10.500
14.467,10.599
14.475,10.095
14.475,9.595
14.485,9.090
14.490,8.588
14.491,8.688
14.492,8.187
14.494,7.686
14.495,7.786
14.495,8.086
14.504,8.182
14.508,8.281
14.509,7.881
14.512,7.579
14.513,7.679
14.516,7.778
14.516,7.378
14.517,7.577
14.518,7.977
14.521,8.176
14.524,8.275
14.526,8.374
14.527,7.873
14.529,7.973
14.531,7.472
14.532,7.172
14.534,7.271
14.535,7.370
14.535,7.470
14.537,7.570
14.538,7.169
14.538,7.269
14.539,7.369
14.539,7.469
14.541,7.568
14.543,7.667
14.544,7.767
14.554,7.963
14.556,8.062
14.558,8.262
14.558,8.462
14.559,8.561
14.561,8.660
14.564,8.759
14.567,8.858
14.568,8.957
14.569,9.057
14.569,9.156
14.574,9.254
14.574,9.354
14.577,8.353
14.578,8.452
14.584,8.050
14.585,8.150
14.586,8.349
14.587,8.549
14.588,8.648
14.588,8.748
14.589,8.848
14.590,8.347
14.592,7.847
14.593,7.946
14.596,8.145
14.597,8.245
14.598,8.344
14.601,8.443
14.603,8.642
14.609,8.740
14.609,8.840
14.615,8.937
14.617,9.036
14.617,9.136
14.629,9.231
14.629,9.331
14.633,9.429
14.635,9.528
14.639,9.626
14.639,9.726
14.644,9.823
14.652,9.920
14.652,10.019
14.656,10.117
14.658,10.217
14.664,9.714
14.665,9.813
14.667,9.912
14.669,9.411
14.672,8.910
14.673,9.009
14.676,9.108
14.679,9.206
14.683,9.405
14.688,9.602
14.690,9.701
14.691,9.800
14.693,9.900
14.696,10.098
14.698,9.597
14.702,9.095
14.715,9.189
14.720,9.387
14.734,9.480
14.744,9.576
14.756,9.670
14.761,9.768
14.763,9.267
14.765,9.366
14.772,9.462
14.779,9.559
14.781,9.058
14.789,9.155
14.791,9.254
14.791,8.754
14.792,8.853
14.792,8.953
14.796,9.151
14.797,8.651
14.801,8.749
14.808,8.846
14.809,8.346
14.822,8.441
14.841,8.733
14.842,7.732
14.844,7.831
14.847,7.930
14.849,7.529
14.851,7.629
14.851,7.728
14.855,7.327
14.857,7.426
14.866,7.523
14.871,7.621
14.876,7.119
14.877,7.219
14.878,7.318
14.879,6.818
14.880,6.418
14.888,6.615
14.888,6.715
14.890,6.214
14.891,6.414
14.896,6.512
14.899,6.011
14.900,6.111
14.906,6.209
14.908,5.709
14.909,5.908
14.910,6.008
14.921,6.105
14.930,6.202
14.931,6.302
14.933,6.501
14.936,6.000
14.940,5.499
14.943,5.598
14.943,5.698
14.947,5.197
14.960,5.294
14.963,5.393
14.963,5.493
14.972,5.590
14.972,5.690
14.976,5.789
14.997,5.883
14.999,5.983
14.999,6.082
15.010,6.179
15.028,6.274
15.037,5.771
15.047,6.068
15.047,6.268
15.058,5.764
15.075,5.860
15.084,5.957
15.103,6.051
15.205,6.120
15.207,6.220
15.224,6.315
15.253,6.405
15.258,6.504
15.269,6.600
15.277,6.698
15.277,6.798
15.293,6.892
15.300,6.990
15.319,7.083
15.321,6.583
15.326,6.681
15.338,6.777
15.344,6.875
15.347,6.974
15.358,6.470
15.365,6.568
15.390,6.659
15.397,6.757
15.398,6.857
15.401,6.956
15.402,7.056
15.403,7.155
15.406,7.254
15.407,7.353
15.408,7.453
15.417,7.150
15.423,7.248
15.423,7.348
15.434,7.444
15.434,7.544
15.470,7.030
15.505,7.118
15.513,7.215
15.520,7.312
15.533,7.408
15.555,7.500
15.586,7.588
15.594,7.685
15.620,7.775
15.637,7.268
15.659,7.361
15.662,7.459
15.683,7.551
15.694,7.047
15.694,7.147
15.717,7.239
15.722,6.737
15.727,6.836
15.741,6.931
15.749,6.428
15.754,6.526
15.758,6.625
15.761,6.724
15.766,6.822
15.788,6.915
15.810,7.007
15.825,6.602
15.835,6.699
15.853,6.793
15.919,6.870
15.924,6.969
15.928,7.067
16.058,7.121
16.078,7.214
16.078,7.314
16.231,7.359
16.231,7.458
16.270,7.544
16.288,7.637
16.362,7.709
16.395,7.796
16.409,7.891
16.466,7.968
16.549,8.035
16.577,8.124
16.647,8.196
16.736,8.260
16.759,8.350
16.764,8.448
16.779,8.541
16.785,8.639
16.824,8.722
16.824,8.822
16.856,8.908
16.890,8.993
16.921,9.079
16.958,9.162
16.987,9.249
17.083,9.305
17.111,9.392
17.189,9.455
17.199,9.550
17.234,9.633
17.239,9.731
17.293,9.805
17.304,9.899
17.398,9.953
17.456,10.025
17.465,10.120
17.469,10.218
17.469,10.318
17.581,10.360
17.588,10.457
17.663,10.517
17.793,10.549
17.856,10.616
17.890,10.698
17.921,10.781
18.028,10.824
18.062,10.906
18.089,10.991
18.098,11.086
18.131,11.168
18.207,11.225
18.248,11.302
18.256,11.398
18.264,11.493
18.317,11.563
18.355,11.641
18.375,11.729
18.383,11.825
18.392,11.919
18.399,12.015
18.442,12.089
18.447,12.186
18.567,12.213
18.572,12.310
18.651,11.762
18.652,11.861
18.757,11.899
18.762,11.996
18.790,12.079
18.822,12.160
18.865,12.234
18.928,12.295
18.930,12.394
18.995,12.454
19.068,12.508
19.069,12.608
19.087,12.697
19.100,12.788
19.135,12.866
19.289,12.867
19.330,12.941
19.335,13.038
19.384,13.106
19.413,13.187
19.457,13.258
19.483,13.341
19.492,13.435
19.544,13.500
19.572,13.581
19.635,13.638
19.636,13.738
19.649,13.828
19.736,13.869
19.740,13.966
19.745,14.062
19.795,14.127
19.848,14.190
19.939,14.225
19.944,14.321
20.010,14.375
20.010,13.875
20.082,13.924
20.112,14.004
20.177,14.058
20.200,13.542
20.230,13.622
20.245,13.712
20.252,13.807
20.258,13.903
20.263,13.999
20.270,14.095
20.299,14.174
20.324,14.256
20.362,14.329
20.455,14.363
20.494,14.435
20.540,14.502
20.551,14.594
20.553,14.692
20.570,14.779
20.598,14.859
20.603,14.956
20.608,15.052
20.610,15.150
20.615,15.246
20.629,15.336
20.720,15.366
20.739,14.852
20.757,14.938
20.793,15.011
20.817,15.093
20.845,15.172
20.885,15.242
20.886,15.341
20.930,15.408
21.003,15.451
21.022,15.536
21.027,15.633
21.054,15.712
21.061,15.806
21.088,15.884
21.117,15.962
21.133,16.049
21.153,15.533
21.212,15.587
21.261,15.649
21.275,15.738
21.298,15.820
21.301,15.918
21.319,16.003
21.326,16.098
21.408,16.132
21.416,15.625
21.426,15.717
21.439,15.807
21.466,15.886
21.490,15.967
21.541,16.026
21.564,16.107
21.583,16.192
21.618,15.664
21.664,15.728
21.668,15.825
21.700,15.900
21.725,15.980
21.731,16.075
21.747,16.162
21.749,16.260
21.800,16.320
21.815,15.807
21.824,15.900
21.875,15.960
21.902,16.037
21.915,16.128
21.930,16.215
21.935,16.312
21.940,16.407
21.940,16.507
21.944,16.604
21.967,16.685
21.982,16.172
21.998,15.660
22.026,15.737
22.040,15.827
22.061,15.910
22.089,15.988
22.123,16.061
22.175,16.119
22.186,16.210
22.197,16.301
22.205,16.395
22.210,16.491
22.242,16.564
22.272,16.639
22.299,16.717
22.324,16.196
