t,spikes
797,791
798,444
799,458
800,563
801,346
802,393
803,269
804,517
805,476
806,251
807,315
808,523
809,611
810,469
811,431
812,274
813,148
814,194
815,321
816,624
817,831
818,853
819,929
820,518
821,323
822,193
823,197
824,311
825,501
826,408
827,348
828,309
829,387
830,795
831,781
832,817
833,246
834,137
835,180
836,329
837,419
838,1030
839,557
840,308
841,258
842,277
843,451
844,817
845,541
846,378
847,243
848,149
849,324
850,749
851,785
852,375
853,334
854,410
855,335
856,350
857,754
858,578
859,336
860,373
861,317
862,575
863,676
864,658
865,404
866,285
867,237
868,234
869,312
870,610
871,550
872,299
873,273
874,239
875,420
876,768
877,653
878,375
879,307
880,154
881,365
882,418
883,496
884,559
885,486
886,297
887,234
888,478
889,730
890,630
891,324
892,127
893,154
894,258
895,454
896,805
897,749
898,597
899,557
900,467
901,253
902,176
903,143
904,224
905,508
906,592
907,559
908,267
909,387
910,483
911,668
912,440
913,462
914,394
915,309
916,215
917,218
918,337
919,661
920,759
921,646
922,556
923,300
924,535
925,463
926,357
927,552
928,534
929,364
930,178
931,230
932,150
933,246
934,488
935,570
936,852
937,759
938,497
939,268
940,247
941,355
942,435
943,534
944,477
945,420
946,294
947,240
948,352
949,449
950,377
951,537
952,512
953,463
954,801
955,1033
956,437
957,108
958,49
959,89
960,244
961,506
962,851
963,1120
964,568
965,211
966,160
967,106
968,157
969,295
970,688
971,593
972,340
973,409
974,427
975,339
976,395
977,471
978,625
979,607
980,320
981,198
982,169
983,226
984,344
985,548
986,766
987,722
988,682
989,402
990,319
991,437
992,648
993,508
994,208
995,157
996,158
997,273
998,440
999,901
1000,175
