t,vm
39.800,11.461
39.900,11.704
40.000,12.045
40.100,11.885
40.200,12.326
40.300,11.864
40.400,12.305
40.500,12.743
40.600,13.679
40.700,13.911
40.800,15.142
40.900,15.366
41.000,15.789
41.100,15.710
41.200,16.232
41.300,16.350
41.400,16.969
41.500,15.584
41.600,15.606
41.700,15.528
41.800,15.150
41.900,15.274
42.000,14.998
42.100,13.923
42.200,13.353
42.300,12.587
42.400,12.124
42.500,11.363
42.600,10.506
42.700,10.954
42.800,10.199
42.900,10.648
43.000,9.995
43.100,10.845
43.200,11.391
43.300,11.534
43.400,12.176
43.500,11.415
43.600,11.158
43.700,11.002
43.800,11.747
43.900,11.988
44.000,12.329
44.100,12.867
44.200,11.703
44.300,11.544
44.400,11.686
44.500,12.128
44.600,12.367
44.700,12.605
44.800,13.142
44.900,13.577
45.000,13.509
45.100,13.741
45.200,14.073
45.300,14.202
45.400,14.631
45.500,14.158
45.600,14.387
45.700,14.515
45.800,14.343
45.900,14.671
46.000,14.598
46.100,14.225
46.200,14.754
46.300,14.380
46.400,14.408
46.500,14.836
46.600,15.062
46.700,15.386
46.800,15.509
46.900,15.832
47.000,16.153
47.100,16.172
47.200,16.691
47.300,16.708
47.400,16.724
47.500,15.840
47.600,15.761
47.700,16.382
47.800,16.101
47.900,16.020
48.000,16.040
48.100,16.260
48.200,16.678
48.300,16.795
48.400,16.011
48.500,15.531
48.600,15.453
48.700,15.176
48.800,15.900
48.900,15.721
49.000,16.442
49.100,15.260
49.200,15.584
49.300,15.306
49.400,15.429
49.500,14.852
49.600,15.378
49.700,12.701
49.800,13.837
49.900,13.468
50.000,13.501
50.100,13.533
50.200,14.366
50.300,14.394
50.400,13.922
50.500,15.252
50.600,14.776
50.700,15.502
50.800,16.225
50.900,16.943
51.000,17.559
51.100,18.071
51.200,18.781
51.300,18.787
51.400,19.093
51.500,19.097
51.600,18.402
51.700,18.010
51.800,17.420
51.900,17.833
52.000,16.343
52.100,14.962
52.200,14.887
52.300,14.613
52.400,15.639
52.500,15.561
52.600,15.383
52.700,15.907
52.800,16.027
52.900,16.547
53.000,16.864
53.100,17.480
53.200,16.792
53.300,17.408
53.400,17.421
53.500,17.034
53.600,17.349
53.700,17.662
53.800,17.874
53.900,18.185
54.000,18.294
54.100,18.702
54.200,19.109
54.300,19.313
54.400,18.817
54.500,18.723
54.600,19.329
54.700,18.932
54.800,18.838
54.900,19.444
55.000,17.846
55.100,18.157
55.200,18.566
55.300,18.873
55.400,19.279
55.500,18.983
55.600,19.188
55.700,18.692
55.800,19.398
55.900,20.001
55.900,10.000
56.000,10.000
56.100,10.000
56.200,10.000
56.300,10.000
56.400,10.000
56.500,10.000
56.600,10.000
56.700,10.000
56.800,10.000
56.900,10.000
57.000,10.000
57.100,10.000
57.200,10.000
57.300,10.000
57.400,10.000
57.500,10.000
57.600,10.000
57.700,10.000
57.800,10.000
57.900,9.650
58.000,9.802
58.100,9.553
58.200,8.405
58.300,9.263
58.400,9.717
58.500,8.968
58.600,9.323
58.700,9.677
58.800,9.828
58.900,9.279
