t,spikes
796,307
797,140
798,258
799,446
800,554
801,500
802,517
803,455
804,152
805,278
806,370
807,665
808,854
809,589
810,372
811,153
812,201
813,315
814,467
815,564
816,487
817,748
818,675
819,229
820,189
821,256
822,336
823,515
824,565
825,829
826,339
827,491
828,484
829,480
830,446
831,706
832,415
833,322
834,401
835,504
836,292
837,489
838,502
839,464
840,326
841,278
842,298
843,367
844,563
845,478
846,600
847,566
848,473
849,353
850,337
851,246
852,338
853,603
854,620
855,511
856,169
857,204
858,341
859,494
860,685
861,595
862,418
863,548
864,700
865,523
866,212
867,178
868,157
869,249
870,571
871,690
872,739
873,792
874,480
875,188
876,139
877,156
878,211
879,280
880,505
881,610
882,530
883,595
884,759
885,490
886,493
887,306
888,255
889,305
890,561
891,525
892,839
893,378
894,197
895,238
896,288
897,278
898,412
899,381
900,589
901,1099
902,703
903,265
904,305
905,424
906,352
907,286
908,527
909,768
910,632
911,499
912,232
913,288
914,239
915,260
916,263
917,478
918,880
919,1108
920,395
921,156
922,84
923,162
924,285
925,363
926,360
927,373
928,606
929,473
930,251
931,575
932,541
933,353
934,505
935,416
936,270
937,423
938,610
939,416
940,332
941,336
942,561
943,747
944,607
945,397
946,311
947,233
948,255
949,568
950,703
951,530
952,633
953,1159
954,422
955,161
956,155
957,274
958,277
959,626
960,762
961,457
962,382
963,333
964,428
965,327
966,276
967,428
968,422
969,229
970,243
971,446
972,881
973,711
974,537
975,539
976,429
977,325
978,224
979,232
980,289
981,618
982,473
983,710
984,848
985,435
986,344
987,251
988,187
989,327
990,258
991,620
992,485
993,198
994,573
995,883
996,858
997,286
998,165
999,182
1000,31
